barcode,product_name,brands,categories,ingredients,energy_kcal,fat_g,saturated_fat_g,carbohydrates_g,sugars_g,fiber_g,protein_g,salt_g,sodium_g,nutriscore_grade,nutriscore_score,nova_group
8901499010483,Kelloggs Muesli,Kellogg's,"Cereal flakes, Mueslis with fruits","Multigrain (66.4%) ,Wheat (24.6%),Corn Grits (15.7%), Rice(10.1%), Rolled Barley (8%), Rolled Oats (8%) ,Candied & Nuts & Dry Fruits & Seed(21%) {Candied Papaya (6%),Candied Cranberry(4%),Raisins(4%),Almonds(4%),Pumpkin Seeds(3%)},Sugar,Cereal Extract,Wheat Bran,Iodized Salt,Vitamins & Minerals,Anti Oxidants(INS 320,INS 307b)",397.5,6,0.75,80,16,5,8,0.15,0.06,c,4,3 - Processed foods
8906113490887,Tata Soulfull Millet Muesli,Tata Soulfull,Mueslis with nuts,"Millets (26%) [Jowar (13.6%), Ragi (6.6%), Bajra (5.8%)], Rolled Oats (25%) Wheat Flakes (15%), Corn Flakes (5%), Dried Cranberry (5%), Refined Sugar, Black Raisins (5%), Dried Papaya (3.29 Almond (3%), Rice (2.8%), Invert Sugar Syrup, Honey, Malt Extract, Edible Vegetable Oil (Palmolein) Emulsifier (INS 322), Strawberry Powder, lodised Salt, Colour (INS 162), Natural Flavour, Anticaking Agent (INS 170(i)), Acidity Regulator (INS 330), Antioxidant (INS 320).",400,6.4,1,76.3,19.7,10.8,9.3,0.38675,0.1547,b,2,4 - Ultra processed food and drink products
8908009059185,Zero Maida Whole Wheat Bread,The Health Factory,"Bread loaves, Whole wheat bread","Fresh Whole Wheat Flour, Yeast, Wheat Gluten, Rice Bran Oil, Cane Sugar, Iodised Salt, Cultured Wheat Flour, Cultured Sweet Potato, Cultured Glucose",241.4,1.32,0.2,43.97,4.1,6.31,13.41,0.8524,0.34096,a,-1,4 - Ultra processed food and drink products
8904335601869,Yoga bar 23G protein muesli + choco almond + cranberry,Yoga bar,Mueslis,"Whole Grains 48% (Rolled Oats, Brown Rice Flakes, Quinoa Flakes), Protein Blend (Soy and Whey Protein Isolate), Dehydrated Fruits, Nuts and Seeds 17% (Dates, Cranberry, Raisins, Almonds, Pumpkin and Chia Seeds), Dark Chocolate (Cocoa, Cocoa Butter, Sugar, Sunflower Lecithin), Jaggery, Rice Bran Oil, Probiotics (Bacillus Coagulans SNZ1969, 150 million CFU Per Serve).Contains Added Natural Flavour: Rosemary Extract and Chocolate.",386,10.7,3,53.1,20.2,7.5,23,0.224,0.0896,c,9,4 - Ultra processed food and drink products
8908005144618,Yoga Bar Super Muesli 0% Added Sugar,Yoga Bar,Mueslis,"Whole Grains 50% (Rolled Oats, Brown Rice Flakes, Jowar Flakes), Seeds 24% (Pumpkin, Sesame, Watermelon, Chia, Flax), Natural Plant Based Dietary Fibre (Fructo-oligo Saccharides), Almonds 8%, Whole Milk Powder, Rice Bran Oil, Probiotics (Bacillus coagulans SNZ1969*). *500 million cfu per serving  CONTAINS ADDED NATURAL FLAVOUR (ROSEMARY EXTRACT, CARAMEL)",370,10.5,1.75,60,0,15.1,15,0.133125,0.05325,a,-5,3 - Processed foods
8906127550850,High protein super oats chocolate,Alpino,"Mueslis, Rolled oats","Rolled Oats (61%), Unsweetened Peanut Butter (26%), Alpino Supernatural (TM) Peanut Protein, Cocoa Powder, Nuts & Seed Mix (Chia Seeds, Almonds, Raisins, Sunflower Seeds), Monk Fruit Extract",457.77,18.6,3.1,51.34,5,11.6,22,0.0331,0.01324,a,-2,4 - Ultra processed food and drink products
8901499010742,Chocos Crunchy Bites,Kellogg's,"Chocolate cereals, Food","REFINED WHEAT FLOUR (MAIDA) (41%), SUGAR, CORN MEAL, WHEAT BRAN, CHOCO CRÈME (5.2%) {SUGAR, EDIBLE VEGETABLE OIL (PALM KERNEL OIL), COCOA SOLIDS, EMULSIFIER (INS 476)), INVERT SYRUP, IODIZED SALT, FLAVOURS (NATURE IDENTICAL & ARTIFICIAL (MARSHMALLOW & VANILLA)), COCOA SOLIDS (0.3%), MINERALS, COLOUR (INS 150d), VITAMINS, ANTIOXIDANT (INS 320). ALLERGEN DECLARATION: CONTAINS WHEAT. MAY CONTAIN SOY, MILK, OATS, BARLEY & NUTS.",390,3.1,1.1,84.9,31,30,4,0.45,0.18,d,11,4 - Ultra processed food and drink products
8904335601951,100% Rolled Oats,Yoga Bar,Rolled oats,100% Golden Rolled Oats. Net weight: Lot No.: MRP: (incl. of all taxes) USPR: Date of Mfg.: Use by: 1 kg OT14E24A 490.00 Rs.0.49/9 MAT D,387.5,8.25,1.75,66.5,1.75,10,12.5,0.02375,0.0095,a,-4,
8901088155496,Saffola oats,Saffola,Rolled oats,Rolled Oats,369,8,1.6,66.8,0.5,10.4,12.6,0,0,a,-5,1 - Unprocessed or minimally processed foods
8901088034593,SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,"Rice bran oils, Soybean oils","PHYSICALLY REFINED RICE BRAN OIL, REFINED SOYA BEAN OIL, ANTIOXIDANTS (INS 319, 330), VITAMINS, ANTI FOAMING AGENT (INS 900a).",900,100,22,0,0,0,0,0,0,c,9,4 - Ultra processed food and drink products
8902710500752,Nutty Fruity Muesli,Baggry’s,"Mueslis, Breakfast cereals diet with dried fruits fortified with vitamins and chemical elements",,380,4.4,0.8,79.8,19.4,7.3,8.9,0.665,0.266,c,8,
8901725016838,Aashirvaad Superior MP Atta,"Aashirvaad, ITC","Wheats, Whole wheat flours",WHOLE WHEAT,338,1.3,0.3,76,3.6,10.4,10.7,0,0,b,-5,1 - Unprocessed or minimally processed foods
8901499008244,Chocos Moons & Stars,Kellogg's,Breakfast cereals,"Wheat Solids (54.2%) Wheat Flour (29.6%), Wheat Flour (24 mole Sugar, Corn Flour, Cocoa Solids (5.6%), Minerals Malt Extract, Edible Vegetable Oil (Palmolein) iodized Salt, Colour (INS 150d), Vitamins Antioxidant (INS 320). CONTAINS PERMITTED NATURAL COLOUR ADDED FLAVOURS (NATURE IDENTICAL",390,3,1.3,83.9,30,3.5,8.6,0.4,0.16,d,14,4 - Ultra processed food and drink products
8901088055772,Oats,Saffola,"Rolled oats, Oat",Rolled Oats Allergen Advice: Contains Oats. May contains traces of other Cereals containing gluten. 100% Wholegrain,369,8,1.6,66.8,0.5,10.4,12.6,0.0125,0.005,a,-8,1 - Unprocessed or minimally processed foods
8906120100137,Chia seeds,Farmley,"Cereal grains, Chia",Chia Seeds,490,31,4.2,44,0,33.4,16.5,0.045,0.018,unknown,0,1 - Unprocessed or minimally processed foods
